user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
1.22758E+18,1.59003E+18,Prakashkumar_07,"New Delhi, India",58,24,2022-11-08 17:13:55+00:00,640,0,"@DelhiComplaint @MCD_Delhi @GyaneshBharti1 Portals me status check kr rha hu to 
Complaint no. Do not found show hota hai
Jbki mujhe complaint no. Mujhe sms or mail aaya tha complaint krne ke baad",[],"[{'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [0, 15]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [16, 26]}, {'screen_name': 'GyaneshBharti1', 'name': 'Gyanesh Bharti', 'id': 4455654073, 'id_str': '4455654073', 'indices': [27, 42]}]"
1.38368E+18,1.59001E+18,ganga_vihar,,20,19,2022-11-08 15:49:08+00:00,1113,0,"@DelhiComplaint @MCD_Delhi No acknowledgement and action on complaint till date after complaining from last 4-5 months. is there any weekly/monthly scheme for encroachment of government footpath also in captial city of india????

@GyaneshBharti1 @AshwaniKumar_92 @SBM_MCD @EastDelhiMCD @dcshahsouth",[],"[{'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [0, 15]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [16, 26]}, {'screen_name': 'GyaneshBharti1', 'name': 'Gyanesh Bharti', 'id': 4455654073, 'id_str': '4455654073', 'indices': [230, 245]}, {'screen_name': 'AshwaniKumar_92', 'name': 'Ashwani Kumar', 'id': 728434197812019200, 'id_str': '728434197812019200', 'indices': [246, 262]}, {'screen_name': 'SBM_MCD', 'name': 'Swachh Survekshan MCD', 'id': 957621630238326784, 'id_str': '957621630238326784', 'indices': [263, 271]}, {'screen_name': 'EastDelhiMCD', 'name': 'East Delhi MCD', 'id': 734827505530458112, 'id_str': '734827505530458112', 'indices': [272, 285]}, {'screen_name': 'dcshahsouth', 'name': 'Deputy Commissioner, Shahdara South Zone', 'id': 1366341026282049538, 'id_str': '1366341026282049538', 'indices': [286, 298]}]"
1.38368E+18,1.59001E+18,ganga_vihar,,20,19,2022-11-08 15:42:40+00:00,1113,0,@gunjanmittal48 @DelhiComplaint @MCD_Delhi @ArvindKejriwal @narendramodi @LtGovDelhi @msisodia @DelhiJalBoard MCD is not doing anything..public should change political party behind it..may be something will change,[],"[{'screen_name': 'gunjanmittal48', 'name': 'Gunjan Mittal', 'id': 1427561838577782797, 'id_str': '1427561838577782797', 'indices': [0, 15]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [16, 31]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [32, 42]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [43, 58]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [59, 72]}, {'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [73, 84]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [85, 94]}, {'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [95, 109]}]"
1.51609E+18,1.59001E+18,reach2rahul2809,,175,6,2022-11-08 15:36:29+00:00,191,0,@gunjanmittal48 @MCD_Delhi @ArvindKejriwal @narendramodi @LtGovDelhi @msisodia @DelhiComplaint @DelhiJalBoard Press Nota...,[],"[{'screen_name': 'gunjanmittal48', 'name': 'Gunjan Mittal', 'id': 1427561838577782797, 'id_str': '1427561838577782797', 'indices': [0, 15]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [16, 26]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [27, 42]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [43, 56]}, {'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [57, 68]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [69, 78]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [79, 94]}, {'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [95, 109]}]"
4840629132,1.58998E+18,RiteshKumar0590,,28,24,2022-11-08 13:58:17+00:00,950,0,@hargovind02 @DelhiComplaint @DelhiPolice @DCPSouthDelhi Kindly take action on Sho Parasnath who supports criminals and black mailers and took 1 lakh Rs from us via beat police and divide it between them. Lost 3 Lakh Rs due to black mailing but @DelhiPolice not taking any action on black mailer. @SanjaySingh_IPS @dcp_southwest,[],"[{'screen_name': 'hargovind02', 'name': '/-/ARGOVIND TIWARI', 'id': 959898768, 'id_str': '959898768', 'indices': [0, 12]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [13, 28]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [29, 41]}, {'screen_name': 'DCPSouthDelhi', 'name': 'DCP South Delhi', 'id': 4853924654, 'id_str': '4853924654', 'indices': [42, 56]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [245, 257]}, {'screen_name': 'SanjaySingh_IPS', 'name': 'Sanjay Singh', 'id': 1306577497673232384, 'id_str': '1306577497673232384', 'indices': [297, 313]}, {'screen_name': 'dcp_southwest', 'name': 'DCP South West District', 'id': 973897810406883329, 'id_str': '973897810406883329', 'indices': [314, 328]}]"
4840629132,1.58998E+18,RiteshKumar0590,,28,24,2022-11-08 13:53:27+00:00,950,0,@vishalnbt @DelhiComplaint Kindly take action on Sho Parasnath who supports criminals and black mailers. Took 1 Lakh Rs from us via beat police and divide it between them. Lost 3 Lakh Rs due to black mailing but @DelhiPolice not taking any action on black mailer. @dcp_southwest @SanjaySingh_IPS,[],"[{'screen_name': 'vishalnbt', 'name': 'Vishal Anand Sharma', 'id': 3615619038, 'id_str': '3615619038', 'indices': [0, 10]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [11, 26]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [212, 224]}, {'screen_name': 'dcp_southwest', 'name': 'DCP South West District', 'id': 973897810406883329, 'id_str': '973897810406883329', 'indices': [264, 278]}, {'screen_name': 'SanjaySingh_IPS', 'name': 'Sanjay Singh', 'id': 1306577497673232384, 'id_str': '1306577497673232384', 'indices': [279, 295]}]"
4840629132,1.58998E+18,RiteshKumar0590,,28,24,2022-11-08 13:48:31+00:00,950,0,@kunal635 @DelhiComplaint @SandhyaTimes4u @NBTDilli @DelhiPolice Kindly take action on Sho Parasnath who supports criminals and black mailers. Took 1 Lakh Rs from us via beat police and divide it between them. Lost 3 Lakh Rs due to black mailing but @DelhiPolice not taking any action on black mailer. @dcp_southwest @SanjaySingh_IPS,[],"[{'screen_name': 'kunal635', 'name': 'Kunal Kashyap', 'id': 2896594519, 'id_str': '2896594519', 'indices': [0, 9]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [10, 25]}, {'screen_name': 'SandhyaTimes4u', 'name': 'सान्ध्य टाइम्स', 'id': 3302135130, 'id_str': '3302135130', 'indices': [26, 41]}, {'screen_name': 'NBTDilli', 'name': 'NBT Dilli', 'id': 150220875, 'id_str': '150220875', 'indices': [42, 51]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [52, 64]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [250, 262]}, {'screen_name': 'dcp_southwest', 'name': 'DCP South West District', 'id': 973897810406883329, 'id_str': '973897810406883329', 'indices': [302, 316]}, {'screen_name': 'SanjaySingh_IPS', 'name': 'Sanjay Singh', 'id': 1306577497673232384, 'id_str': '1306577497673232384', 'indices': [317, 333]}]"
1.42756E+18,1.58997E+18,gunjanmittal48,"Uttam Nagar, New Delhi",0,0,2022-11-08 13:28:40+00:00,9,7,Why should we vote in #MCDElection if we are forced to live in such pathetic conditions. @MCD_Delhi @ArvindKejriwal @narendramodi @LtGovDelhi @msisodia @DelhiComplaint @DelhiJalBoard https://t.co/5PXJCMU8lr,"[{'text': 'MCDElection', 'indices': [22, 34]}]","[{'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [89, 99]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [100, 115]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [116, 129]}, {'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [130, 141]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [142, 151]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [152, 167]}, {'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [168, 182]}]"
4840629132,1.58995E+18,RiteshKumar0590,,28,24,2022-11-08 11:43:50+00:00,950,0,@krishnamahto @DelhiComplaint @DelhiPolice @CPDelhi Kindly take action on Sho Parasnath who supports criminals and black mailers. Took 1 Lakh Rs from us via beat police and divide it between them. Lost 3 Lakh Rs due to black mailing but @DelhiPolice not taking any action. @dcp_southwest @SanjaySingh_IPS @narendramodi @TOIDelhi,[],"[{'screen_name': 'krishnamahto', 'name': 'Krishna Kumar', 'id': 119809912, 'id_str': '119809912', 'indices': [0, 13]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [14, 29]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [30, 42]}, {'screen_name': 'CPDelhi', 'name': 'CP Delhi #DilKiPolice', 'id': 626218913, 'id_str': '626218913', 'indices': [43, 51]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [237, 249]}, {'screen_name': 'dcp_southwest', 'name': 'DCP South West District', 'id': 973897810406883329, 'id_str': '973897810406883329', 'indices': [273, 287]}, {'screen_name': 'SanjaySingh_IPS', 'name': 'Sanjay Singh', 'id': 1306577497673232384, 'id_str': '1306577497673232384', 'indices': [288, 304]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [305, 318]}, {'screen_name': 'TOIDelhi', 'name': 'TOI Delhi', 'id': 30859883, 'id_str': '30859883', 'indices': [319, 328]}]"
4840629132,1.58992E+18,RiteshKumar0590,,28,24,2022-11-08 10:07:23+00:00,950,0,@DCP_NorthWest @DelhiPolice @CPDelhi @SanjaySingh_IPS @USHA_RANGNANI @DCPNewDelhi @DCPSEastDelhi @DCP_SHAHDARA @dcp_southwest @DCPNEastDelhi @dcpouter Kindly take action on Sho Parasnath who supports criminals and black mailers. Took 1 Lakh Rs from us via beat police and divide it between them. Lost 3 Lakh Rs due to black mailing but @DelhiPolice did nothing. @ParasNa88795425 @SanjaySingh_IPS @DelhiComplaint @aajtak @abplive,[],"[{'screen_name': 'DCP_NorthWest', 'name': 'DCP North-West Delhi', 'id': 4848765721, 'id_str': '4848765721', 'indices': [0, 14]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [15, 27]}, {'screen_name': 'CPDelhi', 'name': 'CP Delhi #DilKiPolice', 'id': 626218913, 'id_str': '626218913', 'indices': [28, 36]}, {'screen_name': 'SanjaySingh_IPS', 'name': 'Sanjay Singh', 'id': 1306577497673232384, 'id_str': '1306577497673232384', 'indices': [37, 53]}, {'screen_name': 'USHA_RANGNANI', 'name': 'USHA RANGNANI IPS', 'id': 237710727, 'id_str': '237710727', 'indices': [54, 68]}, {'screen_name': 'DCPNewDelhi', 'name': 'DCP New Delhi', 'id': 694761870373187584, 'id_str': '694761870373187584', 'indices': [69, 81]}, {'screen_name': 'DCPSEastDelhi', 'name': 'DCP South East Delhi', 'id': 4824317152, 'id_str': '4824317152', 'indices': [82, 96]}, {'screen_name': 'DCP_SHAHDARA', 'name': 'DCP SHAHDARA DELHI', 'id': 848003465573945346, 'id_str': '848003465573945346', 'indices': [97, 110]}, {'screen_name': 'dcp_southwest', 'name': 'DCP South West District', 'id': 973897810406883329, 'id_str': '973897810406883329', 'indices': [111, 125]}, {'screen_name': 'DCPNEastDelhi', 'name': 'DCP North East Delhi', 'id': 4830038120, 'id_str': '4830038120', 'indices': [126, 140]}, {'screen_name': 'dcpouter', 'name': 'DCP OUTER DELHI', 'id': 4852669172, 'id_str': '4852669172', 'indices': [141, 150]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [336, 348]}, {'screen_name': 'ParasNa88795425', 'name': 'Paras Nath Verma', 'id': 1330556435772502023, 'id_str': '1330556435772502023', 'indices': [362, 378]}, {'screen_name': 'SanjaySingh_IPS', 'name': 'Sanjay Singh', 'id': 1306577497673232384, 'id_str': '1306577497673232384', 'indices': [379, 395]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [396, 411]}, {'screen_name': 'aajtak', 'name': 'AajTak', 'id': 42606652, 'id_str': '42606652', 'indices': [412, 419]}, {'screen_name': 'abplive', 'name': 'ABP LIVE', 'id': 333888813, 'id_str': '333888813', 'indices': [420, 428]}]"
