user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
49,49,Tiru_1039,Hyderabad,21,6,2022-11-02 12:25:35+00:00,9,0,"#HMDA FINAL APPROVED #Plot(Mortgage Released)
East Facing
Surrounded by Houses
#bibinagar with two highway connectivity #Warangal &amp; #Vijayawada
Near Madharam IT - SEZ
Just 5 Mins drive from #AIIMS 
Local City Bus Available
For More Details Please Contact Me:
Arjun - 7842315248 https://t.co/slCkMLEvU1","[{'text': 'HMDA', 'indices': [0, 5]}, {'text': 'Plot', 'indices': [21, 26]}, {'text': 'bibinagar', 'indices': [79, 89]}, {'text': 'Warangal', 'indices': [120, 129]}, {'text': 'Vijayawada', 'indices': [136, 147]}, {'text': 'AIIMS', 'indices': [194, 200]}]",[]
50,50,siddeshwarjirli,"Karnataka, India",68,65,2022-11-02 11:06:06+00:00,84,10,People from Karnatakashowed their support for the campaign #AIIMSforBAGALKOTE from Jordan East Asia. #aiims #Karnataka @narendramodi @mansukhmandviya @PMOIndia @CMofKarnataka @AIIMSFORBGK https://t.co/PdOsD4eYoa,"[{'text': 'AIIMSforBAGALKOTE', 'indices': [59, 77]}, {'text': 'aiims', 'indices': [101, 107]}, {'text': 'Karnataka', 'indices': [108, 118]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [119, 132]}, {'screen_name': 'mansukhmandviya', 'name': 'Dr Mansukh Mandaviya', 'id': 432697203, 'id_str': '432697203', 'indices': [133, 149]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [150, 159]}, {'screen_name': 'CMofKarnataka', 'name': 'CM of Karnataka', 'id': 2713703797, 'id_str': '2713703797', 'indices': [160, 174]}, {'screen_name': 'AIIMSFORBGK', 'name': 'AIIMSFORBAGALKOT', 'id': 1584066583248670720, 'id_str': '1584066583248670720', 'indices': [175, 187]}]"
51,51,sanga_amita,,13,0,2022-11-02 08:37:09+00:00,2,0,"@BhagwantMann @CMOPb @ArvindKejriwal @PunjabGovtIndia .. This fire in fields near village Balbera, Tehsil Patiala, Punjab is getting dangerous day by day. Please look into the matter on urgent basis. https://t.co/NvooRY0Joj",[],"[{'screen_name': 'BhagwantMann', 'name': 'Bhagwant Mann', 'id': 170396389, 'id_str': '170396389', 'indices': [0, 13]}, {'screen_name': 'CMOPb', 'name': 'CMO Punjab', 'id': 1015206768694190081, 'id_str': '1015206768694190081', 'indices': [14, 20]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [21, 36]}, {'screen_name': 'PunjabGovtIndia', 'name': 'Government of Punjab', 'id': 2998200620, 'id_str': '2998200620', 'indices': [37, 53]}]"
52,52,HimanshuDubeyUP,"लखनऊ, भारत",45,34,2022-11-02 03:57:22+00:00,76,0,"All India Institute of Medical Sciences (AIIMS)
#70YearSeries 
#aiims #aiimsdelhi #nehru @INCIndia @RahulGandhi @IYC @INCUttarPradesh https://t.co/HFZZQEZ6En","[{'text': '70YearSeries', 'indices': [48, 61]}, {'text': 'aiims', 'indices': [63, 69]}, {'text': 'aiimsdelhi', 'indices': [70, 81]}, {'text': 'nehru', 'indices': [82, 88]}]","[{'screen_name': 'INCIndia', 'name': 'Congress', 'id': 1153045459, 'id_str': '1153045459', 'indices': [89, 98]}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': 3171712086, 'id_str': '3171712086', 'indices': [99, 111]}, {'screen_name': 'IYC', 'name': 'Indian Youth Congress', 'id': 16293020, 'id_str': '16293020', 'indices': [112, 116]}, {'screen_name': 'INCUttarPradesh', 'name': 'UP Congress', 'id': 1906974517, 'id_str': '1906974517', 'indices': [117, 133]}]"
53,53,drvinay_aiims,"New Delhi, India",241,1712,2022-11-01 17:08:23+00:00,916,5,"A good news for patient coming to #aiims for orthopaedic surgeries.
@singhpiya735 

#aiimsdelhi #confirmed #MedTwitter https://t.co/x9rpV0OFvy","[{'text': 'aiims', 'indices': [34, 40]}, {'text': 'aiimsdelhi', 'indices': [84, 95]}, {'text': 'confirmed', 'indices': [96, 106]}, {'text': 'MedTwitter', 'indices': [107, 118]}]","[{'screen_name': 'singhpiya735', 'name': 'प्रियंका सिंह (Priyanka Singh)', 'id': 2922727908, 'id_str': '2922727908', 'indices': [68, 81]}]"
54,54,siddeshwarjirli,"Karnataka, India",68,65,2022-11-01 10:42:33+00:00,84,5,Bagalkote district has always been deprived from facilities even after 25th year as district. We request #AIIMSforBAGALKOTE as Bagalkote has all the needs. #aiims #KannadaRajyothsava @narendramodi @mansukhmandviya @CMofKarnataka @CCPatilBJP https://t.co/ORl0xXYz7N,"[{'text': 'AIIMSforBAGALKOTE', 'indices': [105, 123]}, {'text': 'aiims', 'indices': [156, 162]}, {'text': 'KannadaRajyothsava', 'indices': [163, 182]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [183, 196]}, {'screen_name': 'mansukhmandviya', 'name': 'Dr Mansukh Mandaviya', 'id': 432697203, 'id_str': '432697203', 'indices': [197, 213]}, {'screen_name': 'CMofKarnataka', 'name': 'CM of Karnataka', 'id': 2713703797, 'id_str': '2713703797', 'indices': [214, 228]}, {'screen_name': 'CCPatilBJP', 'name': 'C C Patil', 'id': 1032828625513373697, 'id_str': '1032828625513373697', 'indices': [229, 240]}]"
55,55,Devashishgang,NAGPUR,814,237,2022-11-08 18:20:20+00:00,57059,0,@DrSJaishankar @PMOIndia @narendramodi @indiannavy @adgpi #sos Kindly look into this matter https://t.co/FjqR8drYR3,"[{'text': 'sos', 'indices': [58, 62]}]","[{'screen_name': 'DrSJaishankar', 'name': 'Dr. S. Jaishankar', 'id': 859363899291742210, 'id_str': '859363899291742210', 'indices': [0, 14]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [15, 24]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [25, 38]}, {'screen_name': 'indiannavy', 'name': 'SpokespersonNavy', 'id': 738367164395048960, 'id_str': '738367164395048960', 'indices': [39, 50]}, {'screen_name': 'adgpi', 'name': 'ADG PI - INDIAN ARMY', 'id': 1227253801, 'id_str': '1227253801', 'indices': [51, 57]}]"
56,56,ganga_vihar,,20,20,2022-11-08 15:49:08+00:00,1125,0,"@DelhiComplaint @MCD_Delhi No acknowledgement and action on complaint till date after complaining from last 4-5 months. is there any weekly/monthly scheme for encroachment of government footpath also in captial city of india????

@GyaneshBharti1 @AshwaniKumar_92 @SBM_MCD @EastDelhiMCD @dcshahsouth",[],"[{'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [0, 15]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [16, 26]}, {'screen_name': 'GyaneshBharti1', 'name': 'Gyanesh Bharti', 'id': 4455654073, 'id_str': '4455654073', 'indices': [230, 245]}, {'screen_name': 'AshwaniKumar_92', 'name': 'Ashwani Kumar', 'id': 728434197812019200, 'id_str': '728434197812019200', 'indices': [246, 262]}, {'screen_name': 'SBM_MCD', 'name': 'Swachh Survekshan MCD', 'id': 957621630238326784, 'id_str': '957621630238326784', 'indices': [263, 271]}, {'screen_name': 'EastDelhiMCD', 'name': 'East Delhi MCD', 'id': 734827505530458112, 'id_str': '734827505530458112', 'indices': [272, 285]}, {'screen_name': 'dcshahsouth', 'name': 'Deputy Commissioner, Shahdara South Zone', 'id': 1366341026282049538, 'id_str': '1366341026282049538', 'indices': [286, 298]}]"
57,57,bhagsingh21600,,16,0,2022-11-08 08:45:23+00:00,23,1,Sir i send this letter by post &amp; also mailed this to the concerned authority but till date no action had been taken kindly look into this matter pls as still no signal in my village @narendramodi @PMOIndia  @AshwiniVaishnaw @devusinh @BSNL_HP @BSNLCorporate https://t.co/lVcnlgxsBi,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [186, 199]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [200, 209]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [211, 227]}, {'screen_name': 'devusinh', 'name': 'Devusinh Chauhan', 'id': 591850159, 'id_str': '591850159', 'indices': [228, 237]}, {'screen_name': 'BSNL_HP', 'name': 'BSNL_HimachalPradesh', 'id': 756763170421760000, 'id_str': '756763170421760000', 'indices': [238, 246]}, {'screen_name': 'BSNLCorporate', 'name': 'BSNL India', 'id': 2251461926, 'id_str': '2251461926', 'indices': [247, 261]}]"
58,58,DIPESHBEHERA5,,297,104,2022-11-08 08:21:15+00:00,98,1,@SecyChief @DistAdmKeonjhar Please look into this matter and take a nesesary action @mohanmajhi_BJP @ospcb123 @CPCB_OFFICIAL @NITIAayog @ForestDeptt @NGTribunal @MoSarkar5T @CMO_Odisha @PMOIndia @BarbilULB https://t.co/KwBulMdywf,[],"[{'screen_name': 'SecyChief', 'name': 'ChiefSecyOdisha', 'id': 1193083177343938561, 'id_str': '1193083177343938561', 'indices': [0, 10]}, {'screen_name': 'DistAdmKeonjhar', 'name': 'District Administration,Keonjhar', 'id': 873898425862938624, 'id_str': '873898425862938624', 'indices': [11, 27]}, {'screen_name': 'mohanmajhi_BJP', 'name': 'Mohan Charan Majhi', 'id': 1081880909727453184, 'id_str': '1081880909727453184', 'indices': [84, 99]}, {'screen_name': 'ospcb123', 'name': 'Odisha State Pollution Control Board', 'id': 932482088292327424, 'id_str': '932482088292327424', 'indices': [100, 109]}, {'screen_name': 'CPCB_OFFICIAL', 'name': 'Central Pollution Control Board', 'id': 1056904937932709888, 'id_str': '1056904937932709888', 'indices': [110, 124]}, {'screen_name': 'NITIAayog', 'name': 'NITI Aayog', 'id': 1244137812, 'id_str': '1244137812', 'indices': [125, 135]}, {'screen_name': 'ForestDeptt', 'name': 'Odisha Forest, Env. and Climate Change Department', 'id': 871699282608390145, 'id_str': '871699282608390145', 'indices': [136, 148]}, {'screen_name': 'NGTribunal', 'name': 'Green Tribunal', 'id': 1079386366071300096, 'id_str': '1079386366071300096', 'indices': [149, 160]}, {'screen_name': 'MoSarkar5T', 'name': 'MoSarkar 5T', 'id': 1176777819512168449, 'id_str': '1176777819512168449', 'indices': [161, 172]}, {'screen_name': 'CMO_Odisha', 'name': 'CMO Odisha', 'id': 4723068481, 'id_str': '4723068481', 'indices': [173, 184]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [185, 194]}, {'screen_name': 'BarbilULB', 'name': 'Barbil Municipality', 'id': 894783477609971712, 'id_str': '894783477609971712', 'indices': [195, 205]}]"
