Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.28886836821271117
75% Corpus,5,symmetric,0.61,0.3559072963353196
75% Corpus,5,symmetric,0.9099999999999999,0.4024650354096965
75% Corpus,5,symmetric,symmetric,0.27917582763267357
75% Corpus,5,asymmetric,0.01,0.29173785600825664
75% Corpus,5,asymmetric,0.31,0.4229174626501117
75% Corpus,5,asymmetric,0.61,0.49498189206194676
75% Corpus,5,asymmetric,0.9099999999999999,0.42438829583741555
75% Corpus,5,asymmetric,symmetric,0.3931263829078433
75% Corpus,6,0.01,0.01,0.3155200628666963
75% Corpus,6,0.01,0.31,0.2975183418386786
75% Corpus,6,0.01,0.61,0.3461947328887651
75% Corpus,6,0.01,0.9099999999999999,0.31976921101184635
75% Corpus,6,0.01,symmetric,0.3081026477662649
75% Corpus,6,0.31,0.01,0.3297084508660327
75% Corpus,6,0.31,0.31,0.3252474390502594
75% Corpus,6,0.31,0.61,0.3517995284985376
75% Corpus,6,0.31,0.9099999999999999,0.3597536287206404
75% Corpus,6,0.31,symmetric,0.3284751531261188
75% Corpus,6,0.61,0.01,0.3426228814266008
75% Corpus,6,0.61,0.31,0.33739505062654285
75% Corpus,6,0.61,0.61,0.3915898865058942
75% Corpus,6,0.61,0.9099999999999999,0.36914975774791897
75% Corpus,6,0.61,symmetric,0.3243797796161992
75% Corpus,6,0.9099999999999999,0.01,0.3170761580250829
75% Corpus,6,0.9099999999999999,0.31,0.32214578883963824
75% Corpus,6,0.9099999999999999,0.61,0.32839796979487296
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3598589123222293
75% Corpus,6,0.9099999999999999,symmetric,0.3220541475885625
75% Corpus,6,symmetric,0.01,0.3195122489782394
75% Corpus,6,symmetric,0.31,0.3225452116493098
75% Corpus,6,symmetric,0.61,0.38474749520245305
75% Corpus,6,symmetric,0.9099999999999999,0.3269661564118574
75% Corpus,6,symmetric,symmetric,0.3061950811648841
75% Corpus,6,asymmetric,0.01,0.31311615499416345
75% Corpus,6,asymmetric,0.31,0.44147775537331063
75% Corpus,6,asymmetric,0.61,0.4911282848642675
75% Corpus,6,asymmetric,0.9099999999999999,0.4454849966216929
75% Corpus,6,asymmetric,symmetric,0.4071364560373318
75% Corpus,7,0.01,0.01,0.31808054804719493
75% Corpus,7,0.01,0.31,0.34186316888285656
75% Corpus,7,0.01,0.61,0.3867789770194382
75% Corpus,7,0.01,0.9099999999999999,0.3566530645273173
75% Corpus,7,0.01,symmetric,0.32284692490032973
75% Corpus,7,0.31,0.01,0.3403463126457239
75% Corpus,7,0.31,0.31,0.3524458894436033
75% Corpus,7,0.31,0.61,0.42081638445847097
75% Corpus,7,0.31,0.9099999999999999,0.33607226871180124
75% Corpus,7,0.31,symmetric,0.32000651822050447
75% Corpus,7,0.61,0.01,0.3476601220145847
75% Corpus,7,0.61,0.31,0.3537749094892319
75% Corpus,7,0.61,0.61,0.39844539932677925
75% Corpus,7,0.61,0.9099999999999999,0.3948417034781894
75% Corpus,7,0.61,symmetric,0.3477675872702113
75% Corpus,7,0.9099999999999999,0.01,0.34056866968371385
75% Corpus,7,0.9099999999999999,0.31,0.3434880389029761
75% Corpus,7,0.9099999999999999,0.61,0.3458308516685792
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.37611455669909777
75% Corpus,7,0.9099999999999999,symmetric,0.3387078023306228
75% Corpus,7,symmetric,0.01,0.3356124985064962
75% Corpus,7,symmetric,0.31,0.35369802708353343
75% Corpus,7,symmetric,0.61,0.40090612430730804
75% Corpus,7,symmetric,0.9099999999999999,0.3712574903558575
75% Corpus,7,symmetric,symmetric,0.29948260380802616
75% Corpus,7,asymmetric,0.01,0.30238650802585954
75% Corpus,7,asymmetric,0.31,0.4983250970966475
75% Corpus,7,asymmetric,0.61,0.46742583413240163
75% Corpus,7,asymmetric,0.9099999999999999,0.4522615269973619
75% Corpus,7,asymmetric,symmetric,0.41148485763516757
75% Corpus,8,0.01,0.01,0.3568745770792052
75% Corpus,8,0.01,0.31,0.3414553346918184
75% Corpus,8,0.01,0.61,0.41699566037480285
75% Corpus,8,0.01,0.9099999999999999,0.3804586691456088
75% Corpus,8,0.01,symmetric,0.3391981711726899
75% Corpus,8,0.31,0.01,0.35382871541476885
75% Corpus,8,0.31,0.31,0.3562631057410157
75% Corpus,8,0.31,0.61,0.44450988487502785
75% Corpus,8,0.31,0.9099999999999999,0.4140406157507299
75% Corpus,8,0.31,symmetric,0.3435755417375781
75% Corpus,8,0.61,0.01,0.34347404171286927
75% Corpus,8,0.61,0.31,0.34905098815441604
75% Corpus,8,0.61,0.61,0.4256071403990151
75% Corpus,8,0.61,0.9099999999999999,0.3640097148569818
75% Corpus,8,0.61,symmetric,0.3553973859312247
75% Corpus,8,0.9099999999999999,0.01,0.34250724264280874
75% Corpus,8,0.9099999999999999,0.31,0.35229836455330377
75% Corpus,8,0.9099999999999999,0.61,0.3360079347580196
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3967113883821167
75% Corpus,8,0.9099999999999999,symmetric,0.3431419941288465
75% Corpus,8,symmetric,0.01,0.3528430998979709
75% Corpus,8,symmetric,0.31,0.3453661642989917
75% Corpus,8,symmetric,0.61,0.4253628349012877
75% Corpus,8,symmetric,0.9099999999999999,0.375772498170166
75% Corpus,8,symmetric,symmetric,0.3403016964308594
75% Corpus,8,asymmetric,0.01,0.348549677637636
75% Corpus,8,asymmetric,0.31,0.48239269854871536
75% Corpus,8,asymmetric,0.61,0.4985839166421263
75% Corpus,8,asymmetric,0.9099999999999999,0.3904519003806266
75% Corpus,8,asymmetric,symmetric,0.4162353296317144
75% Corpus,9,0.01,0.01,0.32393504700621567
75% Corpus,9,0.01,0.31,0.417022069517202
75% Corpus,9,0.01,0.61,0.37201722662331826
75% Corpus,9,0.01,0.9099999999999999,0.3417361919273189
75% Corpus,9,0.01,symmetric,0.3584139305445022
75% Corpus,9,0.31,0.01,0.3454107618125078
75% Corpus,9,0.31,0.31,0.391667419155118
75% Corpus,9,0.31,0.61,0.4144309092648727
75% Corpus,9,0.31,0.9099999999999999,0.36728041403634254
75% Corpus,9,0.31,symmetric,0.3482556476040175
75% Corpus,9,0.61,0.01,0.3345592746225591
75% Corpus,9,0.61,0.31,0.3718568453016757
75% Corpus,9,0.61,0.61,0.42562115182564025
75% Corpus,9,0.61,0.9099999999999999,0.3171746481623409
75% Corpus,9,0.61,symmetric,0.34192467377047375
75% Corpus,9,0.9099999999999999,0.01,0.33149919563296665
75% Corpus,9,0.9099999999999999,0.31,0.3365015163473878
75% Corpus,9,0.9099999999999999,0.61,0.3566550444181433
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.36968777815866877
75% Corpus,9,0.9099999999999999,symmetric,0.3421190896216356
75% Corpus,9,symmetric,0.01,0.3277063469707442
75% Corpus,9,symmetric,0.31,0.40316332343807715
75% Corpus,9,symmetric,0.61,0.3747390954722021
75% Corpus,9,symmetric,0.9099999999999999,0.3431131341414809
75% Corpus,9,symmetric,symmetric,0.35182342866238386
75% Corpus,9,asymmetric,0.01,0.3287968878718371
75% Corpus,9,asymmetric,0.31,0.5382888685588999
75% Corpus,9,asymmetric,0.61,0.46481871640895367
75% Corpus,9,asymmetric,0.9099999999999999,0.3879256452515891
75% Corpus,9,asymmetric,symmetric,0.4269892557510985
100% Corpus,2,0.01,0.01,0.26664079204736507
100% Corpus,2,0.01,0.31,0.2961895682588439
100% Corpus,2,0.01,0.61,0.29102831557437797
100% Corpus,2,0.01,0.9099999999999999,0.29102831557437797
100% Corpus,2,0.01,symmetric,0.28897788454733164
100% Corpus,2,0.31,0.01,0.2700698061655269
100% Corpus,2,0.31,0.31,0.26807877633834143
100% Corpus,2,0.31,0.61,0.2793265322585085
100% Corpus,2,0.31,0.9099999999999999,0.29557878430096995
100% Corpus,2,0.31,symmetric,0.27792258563497396
100% Corpus,2,0.61,0.01,0.28362150064986613
100% Corpus,2,0.61,0.31,0.2775262874996727
100% Corpus,2,0.61,0.61,0.2961596779892386
100% Corpus,2,0.61,0.9099999999999999,0.2859281464653171
100% Corpus,2,0.61,symmetric,0.2923961312432908
100% Corpus,2,0.9099999999999999,0.01,0.28653034106564546
100% Corpus,2,0.9099999999999999,0.31,0.27381308187281594
100% Corpus,2,0.9099999999999999,0.61,0.300889703675322
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2890324798554197
100% Corpus,2,0.9099999999999999,symmetric,0.29218698723256015
100% Corpus,2,symmetric,0.01,0.2803308825798517
100% Corpus,2,symmetric,0.31,0.28214354247613394
100% Corpus,2,symmetric,0.61,0.28231898771792185
100% Corpus,2,symmetric,0.9099999999999999,0.2852242791348685
100% Corpus,2,symmetric,symmetric,0.2775262874996727
100% Corpus,2,asymmetric,0.01,0.25133089963678507
100% Corpus,2,asymmetric,0.31,0.26830002607191616
100% Corpus,2,asymmetric,0.61,0.28372141968328735
100% Corpus,2,asymmetric,0.9099999999999999,0.313382779816198
100% Corpus,2,asymmetric,symmetric,0.2872528786919657
100% Corpus,3,0.01,0.01,0.30198439790728204
100% Corpus,3,0.01,0.31,0.2731261079831165
100% Corpus,3,0.01,0.61,0.3000577613568253
100% Corpus,3,0.01,0.9099999999999999,0.2821463973034175
100% Corpus,3,0.01,symmetric,0.27630264966663476
100% Corpus,3,0.31,0.01,0.30783748903659497
100% Corpus,3,0.31,0.31,0.29526375657111725
100% Corpus,3,0.31,0.61,0.308497553767807
100% Corpus,3,0.31,0.9099999999999999,0.3119009475102454
100% Corpus,3,0.31,symmetric,0.2952637565711172
100% Corpus,3,0.61,0.01,0.29949470421747304
100% Corpus,3,0.61,0.31,0.29529036128314057
100% Corpus,3,0.61,0.61,0.3126496300469344
100% Corpus,3,0.61,0.9099999999999999,0.33174066767460525
100% Corpus,3,0.61,symmetric,0.3105073316991063
100% Corpus,3,0.9099999999999999,0.01,0.3027447951944427
100% Corpus,3,0.9099999999999999,0.31,0.3122336236976611
100% Corpus,3,0.9099999999999999,0.61,0.314282118699591
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.31079590422760445
100% Corpus,3,0.9099999999999999,symmetric,0.3022698699286429
100% Corpus,3,symmetric,0.01,0.30906491407695197
100% Corpus,3,symmetric,0.31,0.300071594245462
100% Corpus,3,symmetric,0.61,0.3097594621984667
100% Corpus,3,symmetric,0.9099999999999999,0.3137609374980405
100% Corpus,3,symmetric,symmetric,0.2928235116381705
100% Corpus,3,asymmetric,0.01,0.28464693920174444
100% Corpus,3,asymmetric,0.31,0.24466700966602964
100% Corpus,3,asymmetric,0.61,0.37026551394222
100% Corpus,3,asymmetric,0.9099999999999999,0.44646296087474296
100% Corpus,3,asymmetric,symmetric,0.26842514931563216
100% Corpus,4,0.01,0.01,0.3315076215815965
100% Corpus,4,0.01,0.31,0.3430434265752761
100% Corpus,4,0.01,0.61,0.3426143552487694
100% Corpus,4,0.01,0.9099999999999999,0.37745159868320394
100% Corpus,4,0.01,symmetric,0.33708598817871827
100% Corpus,4,0.31,0.01,0.32065540999093295
100% Corpus,4,0.31,0.31,0.33977403076908463
100% Corpus,4,0.31,0.61,0.334621469726181
100% Corpus,4,0.31,0.9099999999999999,0.3934145574352875
100% Corpus,4,0.31,symmetric,0.3266385696199063
100% Corpus,4,0.61,0.01,0.31242149270473074
100% Corpus,4,0.61,0.31,0.3241410769838658
100% Corpus,4,0.61,0.61,0.34796688266348663
100% Corpus,4,0.61,0.9099999999999999,0.3786121189503281
100% Corpus,4,0.61,symmetric,0.3062522400371179
100% Corpus,4,0.9099999999999999,0.01,0.29935551579960035
100% Corpus,4,0.9099999999999999,0.31,0.3062398379610626
100% Corpus,4,0.9099999999999999,0.61,0.3211192138606556
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.34655794779285876
100% Corpus,4,0.9099999999999999,symmetric,0.2942285984774137
100% Corpus,4,symmetric,0.01,0.31724498252729827
100% Corpus,4,symmetric,0.31,0.3365761234599771
100% Corpus,4,symmetric,0.61,0.3365029348593323
100% Corpus,4,symmetric,0.9099999999999999,0.35804663642032963
100% Corpus,4,symmetric,symmetric,0.3240172533763165
100% Corpus,4,asymmetric,0.01,0.3725137234445288
100% Corpus,4,asymmetric,0.31,0.30697841767515455
100% Corpus,4,asymmetric,0.61,0.4362894942145322
100% Corpus,4,asymmetric,0.9099999999999999,0.46854011389597006
100% Corpus,4,asymmetric,symmetric,0.3358986748534186
100% Corpus,5,0.01,0.01,0.33313705115303355
100% Corpus,5,0.01,0.31,0.3100125975231065
100% Corpus,5,0.01,0.61,0.41274036481609044
100% Corpus,5,0.01,0.9099999999999999,0.40727056468396894
100% Corpus,5,0.01,symmetric,0.28720089090059536
100% Corpus,5,0.31,0.01,0.3386674110192506
100% Corpus,5,0.31,0.31,0.3393663718722551
100% Corpus,5,0.31,0.61,0.3842185513213169
100% Corpus,5,0.31,0.9099999999999999,0.3929887093784412
100% Corpus,5,0.31,symmetric,0.33986421951092405
100% Corpus,5,0.61,0.01,0.31509932905517724
100% Corpus,5,0.61,0.31,0.33059987089542997
100% Corpus,5,0.61,0.61,0.35176501056332254
100% Corpus,5,0.61,0.9099999999999999,0.4144321119968459
100% Corpus,5,0.61,symmetric,0.3209603237977351
100% Corpus,5,0.9099999999999999,0.01,0.3190912236653743
100% Corpus,5,0.9099999999999999,0.31,0.3315880972515818
100% Corpus,5,0.9099999999999999,0.61,0.34892648508204294
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.35794325284465567
100% Corpus,5,0.9099999999999999,symmetric,0.30627955455830014
100% Corpus,5,symmetric,0.01,0.32087038746109187
100% Corpus,5,symmetric,0.31,0.318089034377891
100% Corpus,5,symmetric,0.61,0.33704280737307324
100% Corpus,5,symmetric,0.9099999999999999,0.42928950523368137
100% Corpus,5,symmetric,symmetric,0.32511254305362725
100% Corpus,5,asymmetric,0.01,0.3093180468369784
100% Corpus,5,asymmetric,0.31,0.4340419847147083
100% Corpus,5,asymmetric,0.61,0.4946460025152735
100% Corpus,5,asymmetric,0.9099999999999999,0.3967744359564141
100% Corpus,5,asymmetric,symmetric,0.3553749168115871
100% Corpus,6,0.01,0.01,0.3237185618970402
100% Corpus,6,0.01,0.31,0.33053516268394056
100% Corpus,6,0.01,0.61,0.3689526726632271
100% Corpus,6,0.01,0.9099999999999999,0.43972394969877543
100% Corpus,6,0.01,symmetric,0.32713963973250293
100% Corpus,6,0.31,0.01,0.35171047424370944
100% Corpus,6,0.31,0.31,0.35142423214418445
100% Corpus,6,0.31,0.61,0.3820265385561594
100% Corpus,6,0.31,0.9099999999999999,0.38159052640037944
100% Corpus,6,0.31,symmetric,0.33606771800874774
100% Corpus,6,0.61,0.01,0.35188163649737736
100% Corpus,6,0.61,0.31,0.3608858523432869
100% Corpus,6,0.61,0.61,0.36472090539243784
100% Corpus,6,0.61,0.9099999999999999,0.431891511838075
100% Corpus,6,0.61,symmetric,0.3445400613954603
100% Corpus,6,0.9099999999999999,0.01,0.3306827065509087
100% Corpus,6,0.9099999999999999,0.31,0.3440497910988181
100% Corpus,6,0.9099999999999999,0.61,0.3449000586400573
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3399967408754534
100% Corpus,6,0.9099999999999999,symmetric,0.32415777939815443
100% Corpus,6,symmetric,0.01,0.33600808396700815
100% Corpus,6,symmetric,0.31,0.3481743803194106
100% Corpus,6,symmetric,0.61,0.3515933092410193
100% Corpus,6,symmetric,0.9099999999999999,0.4272615317065416
100% Corpus,6,symmetric,symmetric,0.3197879851441033
100% Corpus,6,asymmetric,0.01,0.35118251994261196
100% Corpus,6,asymmetric,0.31,0.44420883580334486
100% Corpus,6,asymmetric,0.61,0.509087577987545
100% Corpus,6,asymmetric,0.9099999999999999,0.48804315914030577
100% Corpus,6,asymmetric,symmetric,0.35972637460582474
100% Corpus,7,0.01,0.01,0.3646582742268964
100% Corpus,7,0.01,0.31,0.35287145263956976
100% Corpus,7,0.01,0.61,0.3857876101736889
100% Corpus,7,0.01,0.9099999999999999,0.36554018715425957
100% Corpus,7,0.01,symmetric,0.3465213512146917
100% Corpus,7,0.31,0.01,0.35942772899579545
100% Corpus,7,0.31,0.31,0.3530990430924433
100% Corpus,7,0.31,0.61,0.45851104483538674
100% Corpus,7,0.31,0.9099999999999999,0.38908851277960554
100% Corpus,7,0.31,symmetric,0.3528159722041452
100% Corpus,7,0.61,0.01,0.36087843136712977
100% Corpus,7,0.61,0.31,0.3729188432355044
100% Corpus,7,0.61,0.61,0.3980000796400624
100% Corpus,7,0.61,0.9099999999999999,0.4262291751708487
100% Corpus,7,0.61,symmetric,0.3644485722192147
100% Corpus,7,0.9099999999999999,0.01,0.33972544570615043
100% Corpus,7,0.9099999999999999,0.31,0.3662274665770623
100% Corpus,7,0.9099999999999999,0.61,0.36040248922879986
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3826805797176303
100% Corpus,7,0.9099999999999999,symmetric,0.3429328549967873
100% Corpus,7,symmetric,0.01,0.3665916519643811
100% Corpus,7,symmetric,0.31,0.3384147389834334
100% Corpus,7,symmetric,0.61,0.4399785655165048
100% Corpus,7,symmetric,0.9099999999999999,0.40813729995196085
100% Corpus,7,symmetric,symmetric,0.3257131208033434
100% Corpus,7,asymmetric,0.01,0.3626071394122385
100% Corpus,7,asymmetric,0.31,0.4579923874388753
100% Corpus,7,asymmetric,0.61,0.5220930687571167
100% Corpus,7,asymmetric,0.9099999999999999,0.4805290309487039
100% Corpus,7,asymmetric,symmetric,0.40471900405106254
100% Corpus,8,0.01,0.01,0.37638632842411834
100% Corpus,8,0.01,0.31,0.35214212874454975
100% Corpus,8,0.01,0.61,0.38369788694498214
100% Corpus,8,0.01,0.9099999999999999,0.495397025693806
100% Corpus,8,0.01,symmetric,0.36166252450462905
100% Corpus,8,0.31,0.01,0.3750412614046499
100% Corpus,8,0.31,0.31,0.3688623212839448
100% Corpus,8,0.31,0.61,0.44718277507719717
100% Corpus,8,0.31,0.9099999999999999,0.45904601851418336
100% Corpus,8,0.31,symmetric,0.3533087144224926
100% Corpus,8,0.61,0.01,0.34671596498531415
100% Corpus,8,0.61,0.31,0.3727059335021904
100% Corpus,8,0.61,0.61,0.420583425930148
100% Corpus,8,0.61,0.9099999999999999,0.43501061340036495
100% Corpus,8,0.61,symmetric,0.37888954805881603
100% Corpus,8,0.9099999999999999,0.01,0.3561174221698986
100% Corpus,8,0.9099999999999999,0.31,0.3770252051005616
100% Corpus,8,0.9099999999999999,0.61,0.3771616444036341
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4023658831054754
100% Corpus,8,0.9099999999999999,symmetric,0.3569712498699352
100% Corpus,8,symmetric,0.01,0.3717441230429219
100% Corpus,8,symmetric,0.31,0.374082353906229
100% Corpus,8,symmetric,0.61,0.4209007482058039
100% Corpus,8,symmetric,0.9099999999999999,0.4298608428133025
100% Corpus,8,symmetric,symmetric,0.35780255362015756
100% Corpus,8,asymmetric,0.01,0.35402523194061586
100% Corpus,8,asymmetric,0.31,0.4784001318551456
100% Corpus,8,asymmetric,0.61,0.5384211488031776
100% Corpus,8,asymmetric,0.9099999999999999,0.5166510452437567
100% Corpus,8,asymmetric,symmetric,0.39967471002765254
100% Corpus,9,0.01,0.01,0.35727225494941417
100% Corpus,9,0.01,0.31,0.4312095546042932
100% Corpus,9,0.01,0.61,0.44966902212055576
100% Corpus,9,0.01,0.9099999999999999,0.4185345392647943
100% Corpus,9,0.01,symmetric,0.35655622534467163
100% Corpus,9,0.31,0.01,0.3754276315829837
100% Corpus,9,0.31,0.31,0.3911274487409395
100% Corpus,9,0.31,0.61,0.4507096941513454
100% Corpus,9,0.31,0.9099999999999999,0.4503177962939629
100% Corpus,9,0.31,symmetric,0.3425546430149512
100% Corpus,9,0.61,0.01,0.3567296986499756
100% Corpus,9,0.61,0.31,0.36802721874167915
100% Corpus,9,0.61,0.61,0.41251455964005357
100% Corpus,9,0.61,0.9099999999999999,0.45326557487579083
100% Corpus,9,0.61,symmetric,0.3650066672371058
100% Corpus,9,0.9099999999999999,0.01,0.35237680872677757
100% Corpus,9,0.9099999999999999,0.31,0.37495529370416864
100% Corpus,9,0.9099999999999999,0.61,0.38129746983722856
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3867641169294376
100% Corpus,9,0.9099999999999999,symmetric,0.3530635470958985
100% Corpus,9,symmetric,0.01,0.36469585827199846
100% Corpus,9,symmetric,0.31,0.40292152521835267
100% Corpus,9,symmetric,0.61,0.46991790690063806
100% Corpus,9,symmetric,0.9099999999999999,0.4428326517049597
100% Corpus,9,symmetric,symmetric,0.35598828672027216
100% Corpus,9,asymmetric,0.01,0.3542045533288589
100% Corpus,9,asymmetric,0.31,0.5329975442710824
100% Corpus,9,asymmetric,0.61,0.5403841198836679
100% Corpus,9,asymmetric,0.9099999999999999,0.4466454118102243
100% Corpus,9,asymmetric,symmetric,0.4179876205974064
